NR_1;KOEN;FOEDELSEAAR;INVAANARE;DRAGNING;SEXUELLT_UMG1;SEXUELLT_UMG2;SEXUELL_INRIKTN;TALADE1;TALADE2;INRIKTNING;AALDER_SEXUELL_INRIKTN1;AALDER_SEXUELL_INRIKTN2;OENSKAN;SKAM;ENSAM;TRAEFFA;LAERDE_KAENNA1;LAERDE_KAENNA2;TRAEFFA_HOMO_BI;KONTAKT1;KONTAKT2;KONTAKT3;KONTAKT4;KONTAKT5;ORGANISATION;FOERHAALANDE_SAMMA_KOEN;VILJA_HA;TIDIGARE_FOERHAALANDE;SAMBO_KVINNA;SAMBO_MAN;TEKNA_HYRESKONTRAKT;VAEGRATS_HYRESKONTRAKT1;VAEGRATS_HYRESKONTRAKT2;HETEROSEXUELLA_BEKANTA;TALAT_OM;BEKANTAS_REAKTION1;BEKANTAS_REAKTION2;BEKANTAS_REAKTION3;BEKANTAS_REAKTION4;BEKANTAS_REAKTION5;BEKANTAS_REAKTION6;BEKANTAS_REAKTION7;BEKANTAS_REAKTION8;BEKANTAS_REAKTION9;BEKANTAS_REAKTION10;BEKANTAS_REAKTION11;BEKANTAS_REAKTION12;BEKANTAS_REAKTION13;FOERVAENTAD_REAKTION1;FOERVAENTAD_REAKTION2;FOERVAENTAD_REAKTION3;FOERVAENTAD_REAKTION4;FOERVAENTAD_REAKTION5;FOERVAENTAD_REAKTION6;FOERVAENTAD_REAKTION7;FOERVAENTAD_REAKTION8;FOERVAENTAD_REAKTION9;FOERVAENTAD_REAKTION10;FOERVAENTAD_REAKTION11;FOERVAENTAD_REAKTION12;FOERVAENTAD_REAKTION13;FOERVAENTAD_REAKTION14;SYSSELSAETTNING1;YRKE;FUNKTION;UTBILDNING;ARBETSKAMRATER;ARBETSKAMRAT_BEMOETANDE1;ARBETSKAMRAT_BEMOETANDE2;ARBETSKAMRAT_BEMOETANDE3;ARBETSKAMRAT_BEMOETANDE4;ARBETSKAMRAT_BEMOETANDE5;ARB_KAMRAT_OVAENLIGT;DISKRIMINERING1;DISKRIMINERING2;DISKRIMINERING3;DISKRIMINERING4;DISKRIMINERING5;DISKRIMINERING6;DISKRIMINERING_AAR;DISKRIMINERING_ARBPLATS;KOENSSJUKDOM1;KOENSSJUKDOM2;PSYK1;PSYK2;PSYK3_1;PSYK3_2;PSYK3_3;PSYK3_4;PSYK3_5;PSYK3_6;HJAELP;NEDSTAEMD1;NEDSTAEMD2
91;Man;39;40000-150000 invånare;15;Ja;12;23;Ja;23;Homosexuell;Ja;23;Ja, jag önskar nu att jag vore (helt) heterosexuell;Ja;Ja, det har jag alltid gjort;Jag har inga homo/bisexuella vänner;Ja;20;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Nej;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;Förvärvsarbe;Försäljning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
92;Man;47;Fler än 150000 invånare;13;Ja;15;15;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;16;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;18;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Nej;Ja;Ja;Ja;Nej;Ja;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Nej;;;;;;;;X;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
93;Man;41;Färre än 10000 invånare;14;Ja;20;12;Ja;20;Homosexuell;Ja;14;Nej;Nej;Ja, det gör jag då och då;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;20;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Ja;Nej;Ja;;Ja;Nej;Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Någon enstaka vet eller förstår det;Nej; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;;;;;;X;;;;;;;;;Förvärvsarbe;Förvaltning, kontor, bank m.m.;Framgår inte, inget svar;framgår inte, inget svar;Jag vet inte om någon förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
94;Man;50;40000-150000 invånare;16;Ja;16;16;Inget svar;0;Homosexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag då och då;Jag har inga homo/bisexuella vänner;Ja;26;Det är den största svårigheten man har som homo/bisexuell;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Jag vet inte om någon förstår det;Nej; ; ; ; ; ; ; ; ; ; ; ; ;Inget svar;;;;;;;;;;;;;X;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
95;Man;61;Fler än 150000 invånare;13;Ja;14;15;Ja;15;Homosexuell;Ja;14;Nej;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;15;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Ja;Ja;Ja;;Ja;Nej;Nej;Nej;Nej;;Alla vet eller förstår det;Ja, för flera bakanta;;;X;X;;X;;X;;;;;;;;X;;;X;;;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Alla vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Nej
96;Man;44;Fler än 150000 invånare;12;Ja;15;17;Ja;15;Homosexuell;Ja;19;Nej;Ja;Nej, det har jag aldrig gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;15;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Ja;Ja;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;;X;;;;X;;;;X;;;;;;;;;;;;;;X;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
97;Man;36;Fler än 150000 invånare;12;Ja;15;12;Ja;18;Homosexuell;Ja;15;Ja, det har jag gjort men jag önskar det inte nu;Ja;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;16;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Ja;Ja;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;;;;;;;;;;;;;X;;;;;;;;;;;;Förvärvsarbe;Undervisning, forskning;Ingen arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
98;Man;55;Fler än 150000 invånare;17;Ja;24;17;Ja;17;Bisexuell;Ja;18;Ja, det har jag gjort men jag önskar det inte nu;Nej;Nej, det har jag aldrig gjort;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;17;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Nej;;X;;;;;;;;;;;;;;;;;X;;;;;;;;;Studerande;;;;Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
99;Kvinna;43;Fler än 150000 invånare;23;Ja;28;27;Ja;27;Homosexuell;Ja;28;Ja, det har jag gjort men jag önskar det inte nu;Ja;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;27;Det är den största svårigheten man har som homo/bisexuell;Ja;Ja;Nej;Nej;Nej;Ja;Ja;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Inget svar;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;X;;;X;X;X;;;;;;;;;;;X;;;;;;;X;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater och en psykolog;Ja;X;;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
100;Man;49;Fler än 150000 invånare;14;Ja;19;16;Ja;19;Homosexuell;Ja;17;Nej;Nej;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;19;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Nej;Nej;Ja;;Ja;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;;;;X;;;;;;;;;;X;;;;;;;;;;X;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Arbetsledande funktion;Eftergymnasial utbildning (universitet osv);Jag vet inte om någon förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
101;Man;60;10000-40000 invånare;15;Ja;15;18;Ja;19;Homosexuell;Ja;19;Ja, det har jag gjort men jag önskar det inte nu;Nej;Ja, det gör jag under långa perioder;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;18;Det är den största svårigheten man har som homo/bisexuell;Nej;Nej;Nej;Nej;Nej;Nej;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;X;;;;;;;X;;;;;X;X;;;Förvärvsarbe;Poliser, väktare, militärer;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;X;;Ja, någon/några har undvikit kontakt med mig;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
102;Man;50;40000-150000 invånare;13;Ja;13;17;Jag har aldrig haft talat med någon om min sexuella läggning;0;Bisexuell;Ja;18;Ja, det har jag gjort men jag önskar det inte nu;Nej;Ja, men bara vid enstaka tillfällen;Jag träffar homo/bisexuella vänner mycket sällan;Ja;25;Det är den största svårigheten man har som homo/bisexuell;Nej;Nej;Ja;Nej;Nej;Nej;Nej;;Nej;Nej;Nej;Nej;Nej;;Jag vet inte om någon förstår det;Nej;X;;;;;;;;;;;;;;;;;;;X;X;X;;;;;;Förvärvsarbe;Transport- och lagerarbete;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Ja;;;X;X;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
103;Man;56;40000-150000 invånare;13;Ja;17;14;Ja;14;Homosexuell;Ja;17;Nej;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;17;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Nej;Nej;Nej;Ja;;Nej;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag sammanbor nu med en man;Ja;Ja;77;De flesta vet eller förstår det;Ja, för flera bakanta;;;;;;;;X;;;X;;;;;;;;;;;;;X;;;;Förvärvsarbe;Byggnadsverksamhet;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Ja;X;;;;Ja, någon/några har varit ovänliga eller fientliga;Jag har diskriminerats;;;;;X;77;Har svarat i fritextfältet;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
104;Man;52;Fler än 150000 invånare;14;Ja;22;15;Ja;22;Homosexuell;Ja;22;Nej;Ja;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;22;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Nej;Nej;Ja;Nej;Ja;Ja;Nej;Nej;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;;;;X;X;;;;;;;;;;;;X;;;;;;;;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Inget svar; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
105;Man;43;Fler än 150000 invånare;12;Ja;20;17;Ja;18;Homosexuell;Ja;19;Ja, det har jag gjort men jag önskar det inte nu;Ja;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;20;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;;X;;;;;X;;;;;;;;X;;;;;;;;;;;Förvärvsarbe;Försäljning;Arbetsledande funktion;Ingen eftergymnasial utbildning;Alla vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;
106;Man;28;Färre än 10000 invånare;20;Ja;45;20;Ja;45;Bisexuell;Ja;20;Nej;Nej;Ja, det gör jag under långa perioder;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;45;Det är den största svårigheten man har som homo/bisexuell;Ja;Nej;Nej;Nej;Nej;Nej;Ja;;Nej;Ja, jag sammanbor nu med en kvinna;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för en bekant;;;;;;;;;;;X;;;;;;;;;X;;;;;;;;Förvärvsarbe;Tjänstemän, ospecificerad;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Jag vet inte om någon förstår det;Ja;;;X;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
107;Man;49;Fler än 150000 invånare;6;Ja;13;13;Ja;18;Homosexuell;Ja;14;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;18;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Ja;Ja;Ja;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag har tidigare sammanbott med en man (män);Ja;Ja;78;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;X;X;X;X;X;X;;X;X;;;;;;;;;X;X;;;;;;Studerande;;;;Alla vet eller förstår det;Alla känner till min sexuella inriktning; ; ; ; ;Ja, någon/några har undvikit kontakt med mig;Jag har diskriminerats;;;;;X;Har diskriminerats men ej angett år;Har angett diskriminering men inte använt fritextfältet;Ja;Nej;Ja, en psykiater och en psykolog;Ja;;;;X;;X;Nej;Ja, jag har känt mig nedstämd (deprimerad) samt varit ängslig och orolig;Ja
108;Man;0;40000-150000 invånare;15;Ja;26;99;Inget svar;99;Homosexuell;Ja;26;Ja, det har jag gjort men jag önskar det inte nu;Ja;Ja, det gör jag under långa perioder;Jag träffar homo/bisexuella vänner mycket sällan;Ja;26;Det är den största svårigheten man har som homo/bisexuell;Ja;Nej;Nej;Nej;Nej;Nej;Ja;;Nej;Nej;Nej;Nej;Nej;;Någon enstaka vet eller förstår det;Nej;;;;;;;X;;;;;;;;;;;;;;;X;;;;;;Pensionär;;;;Någon enstaka vet eller förstår det;Ja;X;;;;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykiater;Ja;;X;;;;;Nej;Ja, jag har känt mig nedstämd (deprimerad);Ja
109;Man;50;Fler än 150000 invånare;13;Ja;15;16;Ja;22;Bisexuell;Ja;16;Nej;Nej;Ja, men bara vid enstaka tillfällen;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;14;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Ja;Ja;;Ja;Nej;Ja, jag sammanbor nu med en man;Ja;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;Förvärvsarbe;Transport- och lagerarbete;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Ja;X;;;;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Ja, en psykiater;Nej;;;;;;;Nej;Ja, jag har varit ängslig och orolig;Nej
110;Man;61;Jag bor på landsbygden;10;Ja;12;12;Ja;15;Bisexuell;Ja;12;Nej;Nej;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;15;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Nej;Nej;Nej;Nej;Nej;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag sammanbor nu med en man;Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;;;X;;;;;;;;;;;;;;;;;;;;;;X;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Ja;Nej;;;;;;;;;Inget svar;
111;Man;61;40000-150000 invånare;14;Ja;10;18;Jag har aldrig haft talat med någon om min sexuella läggning;0;Homosexuell;Ja;18;Nej;Nej;Ja, det gör jag då och då;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;10;Det är den största svårigheten man har som homo/bisexuell;Nej;Ja;Nej;Nej;Nej;Ja;Ja;;Ja;Nej;Nej;Nej;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;Förvärvsarbe;Annan service (städning);Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;De flesta vet eller förstår det;Alla känner till min sexuella inriktning; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Ja, en psykolog;Ja;;X;;;;;Ja;Ja, jag har känt mig nedstämd (deprimerad);Nej
112;Man;63;40000-150000 invånare;10;Ja;12;12;Ja;12;Homosexuell;Ja;14;Nej;Nej;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;14;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Nej;Ja;Nej;Ja;Ja;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Nej;Nej;;Någon enstaka vet eller förstår det;Ja, för en bekant;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;Förvärvsarbe;Försäljning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
113;Man;25;10000-40000 invånare;17;Ja;18;20;Ja;18;Inget svar;Inget svar;;Inget svar;9;9;9;Inget svar;Inget svar;Inget svar;9;9;9;9;9;Nej;Ja;;Ja;Ja, jag sammanbor nu med en kvinna;Nej;Nej;Nej;;Ingen av mina heterosexuella bekanta vet eller förstår det;Ja, för en bekant;;;X;;;;;;;;;;;;;;;;;X;X;;;;;;;Förvärvsarbe;Barnomsorg (daghem);Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Inget svar; ; ; ; ;Inget svar;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Ja
114;Kvinna;35;Jag bor på landsbygden;14;Ja;27;16;Ja;27;Homosexuell;Ja;16;Nej;Ja;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;27;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Nej;Nej;Nej;Nej;Nej;Ja;;Ja;Ja, jag sammanbor nu med en kvinna;Inget svar;Ja;Nej;;Ingen av mina heterosexuella bekanta vet eller förstår det;Nej;X;;;;;;;;;;;;;;X;;;;;;;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Ingen känner till min sexuella inriktning;Nej; ; ; ; ; ;;;Nej;;Nej;;;;;;;;;Nej;
115;Man;55;Fler än 150000 invånare;15;Ja;15;15;Ja;20;Homosexuell;Ja;21;Nej;Nej;Nej, inte nuförtiden;En stor del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;21;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Nej;Nej;Ja;;Nej;Nej;Ja, jag sammanbor nu med en man;Ja;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;;X;;;;;;;;;X;;;X;;;;;;;;;;;;;Förvärvsarbe;Hälso-, sjukvård, socialvård;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Flera vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har känt mig nedstämd (deprimerad);Nej
116;Man;52;Fler än 150000 invånare;14;Ja;14;15;Ja;17;Homosexuell;Ja;20;Nej;Nej;Nej, inte nuförtiden;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;16;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Ja;Ja;Nej;Nej;Ja;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag sammanbor nu med en man;Ja;Nej;;De flesta vet eller förstår det;Ja, för flera bakanta;;X;X;;;;X;;;;;;;;X;X;;;;;;;;;;;;Förvärvsarbe;Försäljning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Alla vet eller förstår det;Alla känner till min sexuella inriktning; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Nej;Nej
117;Man;31;Jag bor på landsbygden;10;Ja;35;20;Ja;35;Bisexuell;Ja;20;Ja, det har jag gjort men jag önskar det inte nu;Nej;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;35;Det är svårt att få tillfälle att lära känna homo/bisexuella personer;Ja;Ja;Nej;Nej;Nej;Nej;Ja;;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Nej;Nej;Nej;;Ingen av mina heterosexuella bekanta vet eller förstår det;Nej;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;Inget svar;;;;Ingen arbetskamrat (studiekamrat) vet eller förstår det;Inget svar; ; ; ; ;Inget svar;Nej; ; ; ; ; ;;;Nej;;Ja, en psykiater;;;;;;;X;Ja;Ja, jag har känt mig nedstämd (deprimerad);Ja
118;Man;51;Fler än 150000 invånare;14;Ja;14;15;Ja;15;Bisexuell;Ja;15;Nej;Nej;Ja, men bara vid enstaka tillfällen;En mindre del av min fritid är jag tillsammans med homo/bisexuella vänner;Ja;15;Det är ganska lätt att få tillfälle att lära känna homo/bisexuella personer;Nej;Ja;Ja;Ja;Nej;Ja;Nej;Nej;Ja;Ja, jag har tidigare sammanbott med en kvinna (kvinnor);Ja, jag har tidigare sammanbott med en man (män);Nej;Nej;;Flera vet eller förstår det;Ja, för flera bakanta;;X;;X;;X;X;;;;;;;;;;;;X;X;;;;;;;;Förvärvsarbe;Industriell tillverkning;Ingen arbetsledande funktion;Ingen eftergymnasial utbildning;Någon enstaka vet eller förstår det;Nej, jag tror inte att de skulle bli ovänliga eller undvika kontakt med mig; ; ; ; ;Nej, ingen har gjort något sådant p g a min sexuella inriktning;Nej; ; ; ; ; ;;;Ja;Nej;Nej;;;;;;;;;Ja, jag har varit ängslig och orolig;Ja
